FLIGHT,DESTGEO,BAREA,STRATA,PEAK,DEPTIME,ARRTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q4BAGS,Q4STORE,Q4FOOD,Q8COM1,Q8COM2,Q8COM3,HOME,Q17COUNTRY,Q18AGE,Q19GENDER,Q21FLY,WEIGHT
1531,2,F,2,2,0.583333333,0.569444444,106,2,,,1,1,1,,,,12,US,5,1,2,2.167946
1531,2,F,2,2,0.583333333,0.5,206,2,,,1,2,1,618,,,12,US,6,1,2,2.167946
1531,2,F,2,2,0.583333333,0.375,386,3,,,1,1,1,303,,,12,US,2,2,2,2.167946
903,1,G,2,2,0.583333333,0.458333333,180,2,,,1,1,1,607,,,15,GERMANY,3,2,2,2.167946
903,1,G,2,2,0.583333333,0.5,120,0,,,1,2,2,13,,,4,US,2,2,2,2.167946
903,1,G,2,2,0.583333333,0.493055556,130,6,,,1,1,1,,,,3,US,7,2,2,2.167946
903,1,G,2,2,0.583333333,0.416666667,240,2,,,1,3,3,,,,6,US,7,2,2,2.167946
903,1,G,2,2,0.583333333,0.416666667,240,2,,,2,1,2,303,,,10,US,2,2,2,2.167946
903,1,G,2,2,0.583333333,0.506944444,110,1,,,1,2,2,,,,4,US,6,1,2,2.167946
903,1,G,2,2,0.583333333,0.458333333,180,2,,,1,0,1,,,,4,US,5,2,1,2.167946
903,1,G,2,2,0.583333333,0.458333333,180,3,,,1,2,2,,,,90,US,5,1,0,2.167946
903,1,G,2,2,0.583333333,0.479166667,150,1,,,1,1,2,,,,11,US,3,1,1,2.167946
903,1,G,2,2,0.583333333,0.479166667,150,2,,,1,2,2,,,,9,US,6,1,2,2.167946
903,1,G,2,2,0.583333333,0.479166667,150,2,,,1,1,1,318,,,10,US,3,2,2,2.167946
903,1,G,2,2,0.583333333,0.46875,165,3,,,1,2,2,31,,,4,US,4,1,2,2.167946
903,1,G,2,2,0.583333333,0.458333333,180,2,,,1,0,0,,,,15,AUSTRIA,3,2,1,2.167946
4976,2,F,2,2,0.68125,0.416666667,381,3,,,1,1,1,306,,,16,JAPAN,4,2,2,2.167946
226,7,A,2,3,0.697916667,0.579861111,170,0,,,1,1,2,501,202,,3,US,3,1,1,0.669478
4976,2,F,2,2,0.68125,0.625,81,1,,,1,2,1,505,20,,11,US,6,2,2,2.167946
226,7,A,2,3,0.697916667,0.572916667,180,1,,,1,0,0,202,,,16,INDIA,3,1,1,0.669478
4976,2,F,2,2,0.68125,0.625,81,1,,,1,1,1,,,,11,US,5,1,2,2.167946
226,7,A,2,3,0.697916667,0.604166667,135,2,,,1,1,1,701,103,803,16,SINGAPORE,2,1,2,0.669478
226,7,A,2,3,0.697916667,0.604166667,135,1,,,1,1,1,,,,99,,4,1,2,0.669478
875,8,G,3,3,0.809027778,0.5,445,1,,,2,2,2,1,308,,12,US,4,1,3,0.725279
226,7,A,2,3,0.697916667,0.572916667,180,3,,,1,0,0,,,,4,US,4,2,2,0.669478
226,7,A,2,3,0.697916667,0.625,105,1,,,1,1,2,102,103,106,99,0,0,0,0,0.669478
226,7,A,2,3,0.697916667,0.53125,240,2,,,1,1,1,205,,,16,INDIA,4,2,2,0.669478
875,8,G,3,3,0.809027778,0.552083333,370,2,,,2,1,2,205,508,,10,US,2,2,0,0.725279
875,8,G,3,3,0.809027778,0.680555556,185,2,,,2,1,2,,,,2,US,4,2,2,0.725279
875,8,G,3,3,0.809027778,0.493055556,455,2,3,,2,2,2,505,21,803,10,US,3,2,1,0.725279
226,7,A,2,3,0.697916667,0.614583333,120,2,,,2,0,0,202,,,10,US,4,1,2,0.669478
