GATE,BAREA,TERMINAL,STRATA,PEAK,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,PURP2,PURP3,GETTO1,GETTO2,GETTO3,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
58,D,,1,2,8,,242,18,,3,0.25,0.31,2,,,2,,,1,2,,2,,1,3,,6,0,1,2,0.720538
1,A,,1,3,38,,1777,99,,4,0.25,0.33,3,,,7,,,2,2,,1,,2,13,,6,2,4,1,0.669478
1,A,,1,3,38,,1777,99,,4,0.26,0.33,2,,,6,,,1,2,,2,,2,13,,2,1,3,2,0.669478
58,D,,1,2,8,,242,18,,3,0.29,0.31,3,,,2,,,2,2,,2,,2,11,,2,2,1,1,0.720538
1,A,,1,3,38,,1777,99,,4,0.24,0.33,1,,,4,,,2,2,,1,,2,1,,3,1,0,2,0.669478
1,A,,1,3,38,,1777,99,,4,0.25,0.33,1,,,4,,,2,2,,1,,1,99,,0,0,0,0,0.669478
1,A,,1,3,38,,1777,99,,4,0.24,0.33,1,,,4,,,2,2,,2,,2,2,,4,1,4,3,0.669478
58,D,,1,2,8,,242,18,,3,0.24,0.31,1,,,7,,,2,2,,1,,2,7,,5,0,0,2,0.720538
1,A,,1,3,38,,1777,99,,4,0.24,0.33,3,,,1,,,2,2,,1,,2,4,,1,1,4,1,0.669478
58,D,,1,2,8,,242,18,,3,0.26,0.31,3,,,2,,,2,2,,1,,2,4,,2,2,1,2,0.720538
1,A,,1,3,38,,1777,99,,4,N,0.33,0,,,7,,,1,2,,1,,2,13,,2,2,1,2,0.669478
58,D,,1,2,8,,242,18,,3,0.23,0.31,3,,,7,,,1,1,,1,,2,12,,7,2,2,2,0.720538
1,A,,1,3,38,,1777,99,,4,0.25,0.33,3,,,6,,,1,1,,2,,2,13,,6,2,0,2,0.669478
1,A,,1,3,38,,1777,99,,4,0.25,0.33,0,,,6,,,1,2,,2,,1,13,,3,1,3,2,0.669478
58,D,,1,2,8,,242,18,,3,0.25,0.31,1,,,9,,,1,2,,1,,1,11,,3,1,3,2,0.720538
1,A,,1,3,38,,1777,99,,4,0.25,0.33,1,,,1,,,2,2,,1,,2,4,,4,2,3,2,0.669478
58,D,,1,2,8,,242,18,,3,0.23,0.31,2,,,2,,,1,0,,1,,0,5,,7,2,2,1,0.720538
1,A,,1,3,38,,1777,99,,4,0.21,0.33,2,,,1,8,,1,1,,1,,2,10,,7,0,4,1,0.669478
1,A,,1,3,38,,1777,99,,4,0.27,0.33,3,,,3,,,2,2,,1,,2,13,,7,1,2,2,0.669478
58,D,,1,2,8,,242,18,,3,0.25,0.31,3,,,1,,,1,2,,1,,1,5,,6,2,4,2,0.720538
1,A,,1,3,38,,1777,99,,4,0.21,0.33,2,,,2,,,1,2,,2,,2,3,,7,2,0,2,0.669478
58,D,,1,2,8,,242,18,,3,0.26,0.31,1,,,1,,,2,1,,2,,1,8,,5,1,4,1,0.720538
1,A,,1,3,38,,1777,99,,4,0.24,0.33,2,,,2,,,1,1,,0,,2,2,,3,1,1,3,0.669478
1,A,,1,3,38,,1777,99,,4,0.25,0.33,2,3,,2,,,1,2,,2,,2,3,,2,2,1,2,0.669478
