GATE,BAREA,TERMINAL,STRATA,PEAK,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,PURP2,PURP3,GETTO1,GETTO2,GETTO3,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
54,D,,3,2,36,,182,62,,2,0.77,0.89,6,,,5,,,2,2,,1,,1,1,,3,2,2,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.79,0.89,4,,,2,,,1,2,,2,,2,3,,2,1,1,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.83,0.89,3,,,2,,,2,2,,2,,1,1,,5,1,4,1,0.869434115
54,D,,3,2,36,,182,62,,2,0.84,0.89,2,,,2,,,1,1,,0,,2,2,,3,2,4,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.85,0.89,3,,,2,,,2,2,,2,,1,1,,3,1,1,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.79,0.89,2,,,5,,,2,2,,1,,2,3,,3,1,1,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.79,0.89,2,,,2,,,2,2,,1,,2,4,,3,1,2,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.84,0.89,3,,,2,,,2,2,,2,,2,1,,3,2,2,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.75,0.89,1,,,4,,,2,1,,1,,2,12,,4,1,3,1,0.869434115
54,D,,3,2,36,,182,62,,2,0.54,0.89,2,,,5,,,2,2,,1,,2,3,,3,2,1,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.83,0.89,3,,,2,,,1,1,,1,,1,12,,5,2,2,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.75,0.89,1,,,4,,,2,1,,1,,3,12,,4,1,4,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.81,0.89,1,3,,2,,,2,2,,2,,2,4,,6,1,3,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.83,0.89,4,,,2,,,1,0,,0,,2,1,,2,2,2,3,0.869434115
54,D,,3,2,36,,182,62,,2,0.81,0.89,3,,,3,,,2,1,,2,,4,12,,2,1,3,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.81,0.89,2,,,11,,,2,1,,2,,2,1,,3,2,3,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.77,0.89,1,,,4,,,2,1,,1,,2,12,,0,2,4,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.81,0.89,6,,,2,,,2,1,,2,,2,5,,3,2,2,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.81,0.89,2,,,3,,,0,0,,1,,4,12,,6,2,2,2,0.869434115
54,D,,3,2,36,,182,62,,2,0.77,0.89,2,,,4,,,2,2,,1,,3,1,,3,1,1,2,0.869434115
11,A,,1,1,21,,434,11,,2,0.21,0.29,2,,,1,,,2,2,,2,,4,3,,3,1,1,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.21,0.29,1,,,8,,,2,2,,1,,2,11,,4,1,3,3,0.778087449
11,A,,1,1,21,,434,11,,2,0.21,0.29,3,,,12,,,1,2,,1,,2,1,,6,2,1,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.21,0.29,1,,,4,,,2,2,,1,,2,12,,4,1,2,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.23,0.29,2,,,15,,,1,1,,1,,1,6,,6,2,2,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.24,0.29,1,,,4,,,2,2,,2,,2,12,,4,1,4,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.24,0.29,2,,,5,,,2,2,,2,,3,10,,2,2,1,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.25,0.29,1,,,4,,,1,0,,1,,2,16,,7,1,2,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.25,0.29,2,,,2,,,1,2,,2,,3,10,,4,2,3,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.23,0.29,3,,,2,,,1,2,,1,,2,12,,3,2,3,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.24,0.29,2,3,,13,,,2,2,,2,,1,1,,4,2,4,2,0.778087449
11,A,,1,1,21,,434,11,,2,0.23,0.29,3,,,2,,,2,1,,1,,2,0,,0,0,0,0,0.778087449
28,B,,2,1,29,,1408,4,,2,0.42,0.52,1,,,5,,,2,2,,1,,2,12,,3,1,2,3,0.522116751
28,B,,2,1,29,,1408,4,,2,0.48,0.52,1,2,,4,,,2,2,,1,,2,1,,3,2,3,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.44,0.52,2,,,1,,,1,2,,1,,1,0,,4,1,3,3,0.522116751
28,B,,2,1,29,,1408,4,,2,0.44,0.52,1,,,5,,,1,1,,1,,2,12,,3,2,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.45,0.52,3,,,2,,,1,1,,1,,1,3,,2,2,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.43,0.52,3,,,6,,,1,2,,1,,1,4,,7,2,4,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.46,0.52,2,,,8,,,0,1,,0,,2,12,,7,1,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.42,0.52,3,,,6,,,1,0,,1,,2,18,,4,1,2,3,0.522116751
28,B,,2,1,29,,1408,4,,2,0.4,0.52,2,,,8,,,1,2,,1,,2,12,,4,1,3,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.43,0.52,1,,,2,,,1,2,,1,,2,4,,4,1,4,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.43,0.52,1,,,12,,,1,1,,1,,2,2,,3,1,3,1,0.522116751
28,B,,2,1,29,,1408,4,,2,0.44,0.52,2,,,8,,,1,2,,2,,2,12,,6,1,4,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.46,0.52,2,3,,2,,,1,0,,0,,0,12,,7,2,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.44,0.52,1,,,12,,,1,1,,1,,2,12,,5,1,4,1,0.522116751
28,B,,2,1,29,,1408,4,,2,0.43,0.52,2,,,2,,,1,2,,2,,1,3,,6,2,0,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.42,0.52,2,,,8,,,1,1,,1,,2,12,,3,2,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.43,0.52,2,,,8,,,1,0,,0,,1,12,,6,2,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.42,0.52,6,,,6,,,0,1,,1,,1,12,,6,2,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.45,0.52,1,,,2,,,1,2,,2,,2,16,,4,1,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.46,0.52,2,,,4,,,1,0,,1,,1,12,,7,2,2,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.45,0.52,1,,,5,,,2,2,,2,,2,12,,3,2,1,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.44,0.52,3,,,2,,,1,2,,2,,1,12,,5,2,0,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.4,0.52,1,,,15,,,1,1,,2,,2,12,,3,2,0,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.38,0.52,3,,,1,,,1,1,,2,,2,10,,9,3,3,2,0.522116751
28,B,,2,1,29,,1408,4,,2,0.44,0.52,2,,,2,,,1,1,,2,,2,11,,4,2,0,2,0.522116751
31,B,,2,1,29,,4447,83,,1,0.39,0.49,3,,,2,,,0,0,,1,,1,2,,5,1,2,2,0.522116751
