GATE,BAREA,TERMINAL,STRATA,PEAK,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,PURP2,PURP3,GETTO1,GETTO2,GETTO3,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
77,F,,2,2,28,UNITED,5336,51,PORTLAND,1,0.49,0.6,2,,,2,,,2,2,,1,,2,1,1,45-54,0,2,2,1.757875
56,D,,1,1,8,AMERICAN,164,43,NEW YORK-JFK,2,0.3,0.36,1,,,1,,,2,2,,1,,1,9,1,45-54,0,2,1,1.122545455
63,E,,1,1,28,UNITED,1720,1,ATLANTA,2,0.38,0.45,3,,,2,,,1,2,,2,,2,12,1,45-54,0,2,2,1.757875
2,A,,2,1,20,JETBLUE,416,43,NEW YORK-JFK,2,N,0.48,1,,,5,,,1,2,,2,,1,1,1,45-54,0,3,2,0.355703704
1,A,,1,3,31,WESTJET,1777,68,VANCOUVER,4,0.24,0.33,2,,,5,,,1,1,,2,,2,13,1,45-54,0,3,2,0.975517672
7,A,,3,3,23,PHILIPPINE AIR,105,35,MANILA,9,N,0.98,3,,,6,,,1,2,,2,,2,90,5,45-54,0,3,2,0.975517672
74,F,,3,3,29,UNITED INTL,460,68,VANCOUVER,4,0.73,0.83,2,,,5,,,1,1,,1,,1,5,1,45-54,0,3,2,0.917421687
77,F,,2,2,28,UNITED,5788,63,ST. LOUIS,3,0.63,0.69,1,,,5,,,2,1,,1,,1,1,1,45-54,0,4,1,1.757875
45,C,,2,2,8,AMERICAN,477,49,PHOENIX,1,0.6,0.66,1,,,2,,,1,1,,2,,2,2,1,45-54,0,4,2,1.122545455
4,A,,2,3,2,AEROMEXICO,663,23,GUADALAJARA,4,0.39,0.49,2,3,,2,,,1,2,,2,,2,1,1,45-54,0,4,2,0.975517672
58,D,,1,1,8,AMERICAN,5922,34,LOS ANGELES,1,0.26,0.33,1,,,9,,,2,2,,2,,1,5,1,45-54,0,4,2,1.122545455
96,G,,2,3,3,AIR CANADA,784,67,TORONTO,4,0.63,0.67,2,,,14,,,1,1,,1,,1,1,1,45-54,0,0,2,0.251095694
65,E,,1,1,28,UNITED,334,27,HOUSTON-BUSH,3,0.37,0.45,2,,,3,,,2,1,,2,,2,99,5,45-54,0,0,4,1.757875
41,C,,2,2,15,DELTA,2040,43,NEW YORK-JFK,2,0.6,0.67,1,,,12,,,2,2,,1,,2,12,1,55-64,0,1,2,1.045596774
10,A,,3,2,7,ALASKA,387,51,PORTLAND,1,0.67,0.75,2,,,8,,,1,1,,1,,2,10,1,55-64,0,2,3,0.35525
31,B,,2,1,25,SOUTHWEST,2032,55,SAN DIEGO,1,0.46,0.52,6,,,8,,,1,0,,0,,1,10,1,55-64,0,2,2,0.8875125
28,B,,2,2,25,SOUTHWEST,2642,34,LOS ANGELES,1,0.49,0.56,2,,,4,,,2,2,,2,,1,10,1,55-64,0,2,2,0.8875125
69,E,,3,2,28,UNITED,1681,4,BALTIMORE,2,0.76,0.89,3,,,3,,,2,2,,1,,4,10,1,55-64,0,2,2,1.757875
47,C,,2,2,8,AMERICAN,774,48,PHILADELPHIA,2,0.46,0.56,2,,,6,,,2,1,,1,,2,1,1,55-64,0,2,1,1.122545455
57,D,,1,1,8,AMERICAN,1164,15,DALLAS-FT. WORTH,3,N,0.43,1,,,9,,,2,2,,1,,2,11,5,55-64,0,2,2,1.122545455
98,G,,2,3,29,UNITED INTL,58,21,FRANKFURT,6,0.5,0.58,2,,,2,,,0,0,,0,,0,90,1,55-64,0,3,3,0.917421687
42,C,,3,2,15,DELTA,2800,54,SALT LAKE CITY,1,0.69,0.75,1,,,7,,,2,2,,2,,1,10,1,55-64,0,4,2,1.045596774
11,A,,2,3,14,CHINA SOUTHERN,658,24,GUANGZHOU,8,0.42,0.51,3,,,4,,,1,2,,2,,2,4,1,55-64,0,4,2,0.975517672
94,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,0.57,0.72,1,,,1,,,2,2,,2,,2,5,1,55-64,0,4,3,0.251095694
28,B,,3,2,25,SOUTHWEST,1081,49,PHOENIX,1,0.84,0.91,3,,,4,,,1,1,,1,,1,2,1,55-64,0,4,3,0.8875125
45,C,,2,1,8,AMERICAN,662,11,CHARLOTTE,2,0.35,0.46,2,,,2,,,1,1,,1,,1,2,1,55-64,0,4,2,1.122545455
4,A,,1,2,7,ALASKA,377,60,SEATTLE,1,0.16,0.25,10,,,1,,,2,2,,2,,3,7,1,55-64,0,4,2,0.35525
87,F,,1,1,28,UNITED,516,69,WASHINGTON-DULLES,2,0.31,0.41,3,,,9,,,1,1,,1,,1,12,1,55-64,0,4,2,1.757875
54,D,,2,2,30,VIRGIN AMERICA,932,34,LOS ANGELES,1,0.51,0.69,2,,,12,,,1,0,,0,,1,99,1,55-64,0,0,4,1.000529644
28,B,,2,1,25,SOUTHWEST,1051,30,LAS VEGAS,1,0.38,0.47,2,,,7,,,1,2,,1,,1,12,1,55-64,0,0,2,0.8875125
99,G,,3,3,22,LUFTHANSA,459,41,MUNICH,6,0.71,0.86,2,,,9,,,1,2,,2,,3,19,1,55-64,0,0,2,0.975517672
51,D,,1,1,30,VIRGIN AMERICA,751,55,SAN DIEGO,1,0.33,0.42,1,,,2,,,0,2,,0,,2,15,1,55-64,0,0,2,1.000529644
51,D,,1,1,30,VIRGIN AMERICA,751,55,SAN DIEGO,1,0.35,0.42,2,,,2,,,1,1,,1,,2,10,1,55-64,0,0,2,1.000529644
4,A,,2,3,2,AEROMEXICO,663,23,GUADALAJARA,4,0.33,0.49,3,,,2,4,,1,1,,2,,1,99,1,55-64,0,0,3,0.975517672
58,D,,1,1,8,AMERICAN,5922,34,LOS ANGELES,1,0.25,0.33,2,,,5,,,2,0,,1,,1,10,1,55-64,0,0,2,1.122545455
46,C,,2,1,15,DELTA,2305,39,MINNEAPOLIS,3,0.43,0.53,2,,,9,,,2,1,,1,,2,11,1,65-Over,0,0,2,1.045596774
77,F,,2,2,28,UNITED,5336,51,PORTLAND,1,0.45,0.6,2,,,3,,,0,0,,1,,1,10,3,65-Over,0,1,2,1.757875
55,D,,1,1,30,VIRGIN AMERICA,219,51,PORTLAND,1,N,0.39,3,,,7,,,1,0,,0,,2,4,1,65-Over,0,1,1,1.000529644
80,F,,2,1,28,UNITED,300,26,HONOLULU,1,0.4,0.48,2,,,3,,,2,2,,1,,4,12,1,65-Over,0,2,2,1.757875
11,A,,2,2,20,JETBLUE,616,43,NEW YORK-JFK,2,0.61,0.64,3,,,13,,,1,2,,2,,1,12,1,65-Over,0,2,2,0.355703704
77,F,,2,2,28,UNITED,5336,51,PORTLAND,1,0.46,0.6,5,,,5,,,0,1,,1,,1,1,1,65-Over,0,2,2,1.757875
21,B,,3,2,18,FRONTIER,1194,14,CINCINNATI,3,0.86,0.94,3,,,1,,,1,0,,0,,2,7,1,65-Over,0,2,2,0.975517672
93,G,,3,3,1,AER LINGUS,146,19,DUBLIN,6,0.58,0.73,2,,,13,,,1,1,,1,,1,7,1,65-Over,0,2,2,0.975517672
10,A,,2,2,20,JETBLUE,916,43,NEW YORK-JFK,2,0.54,0.68,2,,,2,,,1,1,,2,,2,10,5,65-Over,0,3,2,0.355703704
28,B,,2,1,25,SOUTHWEST,1051,30,LAS VEGAS,1,0.35,0.47,1,3,,9,,,1,1,,2,,1,11,1,65-Over,0,3,2,0.8875125
99,G,,3,3,22,LUFTHANSA,459,41,MUNICH,6,0.77,0.86,2,,,2,,,1,2,,2,,2,2,1,65-Over,0,3,2,0.975517672
21,B,,3,2,18,FRONTIER,1194,14,CINCINNATI,3,0.82,0.94,3,6,,7,,,1,2,,2,,1,8,1,65-Over,0,4,2,0.975517672
93,G,,3,3,1,AER LINGUS,146,19,DUBLIN,6,0.5,0.73,1,2,,3,,,1,1,,1,,2,10,1,65-Over,0,0,2,0.975517672
99,G,,2,3,4,AIR CHINA,986,5,BEIJING,8,0.44,0.62,3,,,1,,,1,1,,0,,1,99,5,65-Over,0,0,4,0.975517672
7,A,,2,3,10,ASIANA,211,61,SEOUL-INCHEON,8,N,0.53,3,,,2,,,1,0,,1,,2,10,1,Don't Know or Refused,0,1,1,0.975517672
2,A,,2,3,2,AEROMEXICO,669,37,MEXICO CITY,4,N,0.57,3,,,7,,,1,0,,1,,1,1,1,Don't Know or Refused,0,1,2,0.975517672
92,G,,1,3,3,AIR CANADA,760,40,MONTREAL,4,0.27,0.4,2,,,8,,,1,0,,1,,1,5,1,Don't Know or Refused,0,2,2,0.251095694
53,D,,2,1,30,VIRGIN AMERICA,906,30,LAS VEGAS,1,0.46,0.52,2,,,4,,,1,1,,2,,1,6,1,Don't Know or Refused,0,3,2,1.000529644
7,A,,2,3,10,ASIANA,211,61,SEOUL-INCHEON,8,0.27,0.53,2,3,,2,,,1,1,,1,,2,5,1,Don't Know or Refused,0,4,2,0.975517672
4,A,,1,3,7,ALASKA,222,52,PUERTO VALLARTA,4,0.33,0.44,2,,,2,,,1,0,,1,,1,90,1,Don't Know or Refused,0,4,2,0.35525
50,D,,3,2,30,VIRGIN AMERICA,870,16,DENVER,1,0.74,0.79,3,,,5,,,2,2,,1,,2,99,5,Don't Know or Refused,0,0,4,1.000529644
50,D,,3,2,30,VIRGIN AMERICA,870,16,DENVER,1,0.71,0.79,3,,,2,,,0,0,,1,,2,99,5,Don't Know or Refused,0,0,4,1.000529644
92,G,,2,3,3,AIR CANADA,738,67,TORONTO,4,N,0.48,1,,,6,,,2,1,,1,,0,13,1,Don't Know or Refused,0,0,4,0.251095694
52,D,,3,2,30,VIRGIN AMERICA,942,34,LOS ANGELES,1,0.73,0.82,3,,,5,,,1,1,,1,,2,99,5,Don't Know or Refused,0,0,4,1.000529644
90,F,,2,2,28,UNITED,242,7,BOSTON,2,0.5,0.6,1,,,4,,,1,1,,1,,0,99,5,Don't Know or Refused,0,0,4,1.757875
90,F,,2,2,28,UNITED,242,7,BOSTON,2,0.52,0.6,2,,,6,,,2,2,,1,,0,99,5,Don't Know or Refused,0,0,4,1.757875
80,F,,2,1,28,UNITED,300,26,HONOLULU,1,0.41,0.48,2,,,4,,,1,1,,2,,0,99,5,Don't Know or Refused,0,0,4,1.757875
80,F,,2,1,28,UNITED,300,26,HONOLULU,1,0.38,0.48,2,,,1,,,2,2,,2,,1,99,5,Don't Know or Refused,0,0,4,1.757875
4,A,,1,1,28,UNITED,728,13,CHICAGO-O'HARE,3,0.35,0.44,2,,,2,,,1,0,,0,,0,99,5,Don't Know or Refused,0,0,4,1.757875
41,C,,3,2,15,DELTA,2240,43,NEW YORK-JFK,2,0.8,0.88,1,2,,2,5,,1,1,,2,,0,99,5,Don't Know or Refused,0,0,4,1.045596774
41,C,,3,2,15,DELTA,2240,43,NEW YORK-JFK,2,0.75,0.88,2,,,6,,,1,2,,2,,3,99,5,Don't Know or Refused,0,0,4,1.045596774
4,A,,2,3,14,CHINA SOUTHERN,660,70,WUHAN,8,0.38,0.58,0,,,3,,,1,1,,0,,0,99,5,Don't Know or Refused,0,0,4,0.975517672
78,F,,3,2,28,UNITED,5077,45,ONTARIO (CALIF),1,0.75,0.83,2,,,3,,,1,1,,1,,1,10,5,Don't Know or Refused,0,0,4,1.757875
84,F,,3,2,28,UNITED,5338,46,PALM SPRINGS,2,N,0.87,1,2,3,3,,,2,1,,1,,0,99,5,Don't Know or Refused,0,0,4,1.757875
92,G,,2,3,29,UNITED INTL,990,47,PARIS-DE GAULLE,6,0.46,0.61,2,,,9,,,0,0,,1,,1,15,1,Don't Know or Refused,0,0,2,0.917421687
96,G,,2,3,3,AIR CANADA,784,67,TORONTO,4,0.57,0.67,2,,,3,,,1,1,,1,,4,99,5,Don't Know or Refused,0,0,4,0.251095694
74,F,,1,2,28,UNITED,1444,16,DENVER,1,0.24,0.28,3,,,1,,,2,2,,2,,0,99,5,Don't Know or Refused,0,0,4,1.757875
31,B,,3,2,25,SOUTHWEST,1860,58,SANTA ANA,1,0.7,0.75,3,,,2,,,2,2,,1,,2,99,5,Don't Know or Refused,0,0,4,0.8875125
98,G,,2,3,29,UNITED INTL,58,21,FRANKFURT,6,0.5,0.58,2,,,1,,,2,1,,2,,2,99,5,Don't Know or Refused,0,0,4,0.917421687
91,G,,2,3,29,UNITED INTL,9,12,CHENGDU,8,0.44,0.56,1,,,9,,,1,1,,0,,3,99,5,Don't Know or Refused,0,0,4,0.917421687
91,G,,2,3,29,UNITED INTL,9,12,CHENGDU,8,0.5,0.56,4,,,3,,,2,2,,2,,2,99,5,Don't Know or Refused,0,0,4,0.917421687
91,G,,2,3,29,UNITED INTL,9,12,CHENGDU,8,N,0.56,3,,,2,,,1,0,,0,,2,99,5,Don't Know or Refused,0,0,4,0.917421687
2,A,,2,3,2,AEROMEXICO,669,37,MEXICO CITY,4,0.48,0.57,2,,,6,,,1,1,,2,,2,99,5,Don't Know or Refused,0,0,4,0.975517672
61,E,,3,2,28,UNITED,1524,49,PHOENIX,1,0.75,0.86,1,,,3,,,1,2,,2,,0,99,5,Don't Know or Refused,0,0,4,1.757875
44,C,,2,2,15,DELTA,2773,34,LOS ANGELES,1,0.67,0.71,1,,,8,,,2,1,,2,,1,99,5,Don't Know or Refused,0,0,4,1.045596774
44,C,,2,2,15,DELTA,2773,34,LOS ANGELES,1,0.61,0.71,3,,,2,,,2,1,,2,,1,99,5,Don't Know or Refused,0,0,4,1.045596774
69,E,,3,2,28,UNITED,1681,4,BALTIMORE,2,0.82,0.89,3,,,3,,,2,2,,2,,4,99,5,Don't Know or Refused,0,0,4,1.757875
64,E,,3,2,28,UNITED,887,34,LOS ANGELES,1,0.75,0.85,2,3,,6,,,2,1,,1,,0,99,5,Don't Know or Refused,0,0,4,1.757875
41,C,,2,2,15,DELTA,2040,43,NEW YORK-JFK,2,N,0.67,1,,,5,,,2,2,,2,,2,99,5,Don't Know or Refused,0,0,4,1.045596774
41,C,,2,2,15,DELTA,2040,43,NEW YORK-JFK,2,0.59,0.67,1,,,5,,,1,0,,0,,0,99,5,Don't Know or Refused,0,0,4,1.045596774
11,A,,1,2,20,JETBLUE,2288,30,LAS VEGAS,1,0.26,0.3,2,,,6,,,2,0,,0,,2,3,5,Don't Know or Refused,0,0,4,0.355703704
58,D,,2,1,8,AMERICAN,5991,34,LOS ANGELES,1,0.35,0.5,1,6,,1,,,2,1,,1,,0,99,5,Don't Know or Refused,0,0,4,1.122545455
54,D,,1,1,30,VIRGIN AMERICA,84,69,WASHINGTON-DULLES,2,0.29,0.41,2,,,8,,,0,1,,0,,2,99,5,Don't Know or Refused,0,0,4,1.000529644
47,C,,1,1,8,AMERICAN,722,48,PHILADELPHIA,2,0.4,0.45,2,,,5,,,2,2,,2,,0,99,5,Don't Know or Refused,0,0,4,1.122545455
52,D,,1,2,30,VIRGIN AMERICA,350,7,BOSTON,2,0.15,0.28,6,,,6,,,2,2,,2,,0,99,5,Don't Know or Refused,0,0,4,1.000529644
52,D,,1,2,30,VIRGIN AMERICA,350,7,BOSTON,2,0.22,0.28,3,,,1,,,1,1,,2,,0,99,5,Don't Know or Refused,0,0,4,1.000529644
52,D,,1,2,30,VIRGIN AMERICA,350,7,BOSTON,2,0.23,0.28,2,,,7,,,0,0,,1,,0,99,5,Don't Know or Refused,0,0,4,1.000529644
52,D,,1,2,30,VIRGIN AMERICA,350,7,BOSTON,2,0.24,0.28,2,,,3,,,1,0,,0,,0,99,5,Don't Know or Refused,0,0,4,1.000529644
52,D,,1,2,30,VIRGIN AMERICA,174,44,NEWARK,2,0.25,0.33,3,,,2,,,1,1,,2,,1,90,1,Don't Know or Refused,0,0,4,1.000529644
51,D,,1,1,30,VIRGIN AMERICA,902,30,LAS VEGAS,1,N,0.37,2,,,2,,,2,2,,2,,1,99,5,Don't Know or Refused,0,0,4,1.000529644
77,F,,2,2,28,UNITED,5788,63,ST. LOUIS,3,0.6,0.69,1,,,3,,,2,1,,1,,4,99,1,Don't Know or Refused,0,0,4,1.757875
11,A,,3,2,20,JETBLUE,188,30,LAS VEGAS,1,0.79,0.83,2,,,6,,,2,2,,2,,2,3,1,Don't Know or Refused,0,0,2,0.355703704
11,A,,3,2,20,JETBLUE,1516,43,NEW YORK-JFK,2,0.85,0.96,2,,,5,,,1,0,,0,,4,99,5,Don't Know or Refused,0,0,4,0.355703704
11,A,,3,2,7,ALASKA,304,46,PALM SPRINGS,2,0.86,0.91,3,,,5,,,2,2,,2,,2,99,5,Don't Know or Refused,0,0,4,0.35525
70,F,,3,2,28,UNITED,5456,36,MEDFORD,1,N,0.83,1,,,12,,,1,2,,2,,0,99,5,Don't Know or Refused,0,0,4,1.757875
58,D,,2,2,8,AMERICAN,2438,34,LOS ANGELES,1,0.54,0.61,3,,,2,,,2,2,,2,,2,99,5,Don't Know or Refused,0,0,4,1.122545455
12,A,,3,2,20,JETBLUE,278,22,FT. LAUDERDALE,2,N,0.96,1,,,2,,,2,2,,2,,0,99,5,Don't Know or Refused,0,0,4,0.355703704
12,A,,3,2,20,JETBLUE,834,7,BOSTON,2,0.79,0.9,2,,,9,,,2,2,,2,,3,99,5,Don't Know or Refused,0,0,4,0.355703704
43,C,,1,1,15,DELTA,2520,17,DETROIT,3,0.29,0.38,2,,,8,,,1,1,,1,,0,99,5,Don't Know or Refused,0,0,4,1.045596774
93,G,,3,3,3,AIR CANADA,571,68,VANCOUVER,4,0.73,0.83,2,,,2,,,2,1,,1,,0,99,5,Don't Know or Refused,0,0,4,0.251095694
27,B,,3,2,25,SOUTHWEST,2027,34,LOS ANGELES,1,0.7,0.77,3,,,5,,,1,1,,2,,0,99,5,Don't Know or Refused,0,0,4,0.8875125
26,B,,3,2,25,SOUTHWEST,2644,55,SAN DIEGO,1,0.67,0.73,1,,,5,,,2,2,,2,,0,99,5,Don't Know or Refused,0,0,4,0.8875125
10,A,,3,2,7,ALASKA,333,60,SEATTLE,1,0.71,0.86,1,,,9,,,2,2,,1,,1,99,5,Don't Know or Refused,0,0,4,0.35525
40,C,,2,1,15,DELTA,61,1,ATLANTA,2,0.41,0.47,6,,,2,,,1,2,,2,,1,99,5,Don't Know or Refused,0,0,4,1.045596774
43,C,,1,1,15,DELTA,2520,17,DETROIT,3,0.27,0.38,3,,,9,,,1,0,,0,,0,99,5,Don't Know or Refused,0,0,4,1.045596774
4,A,,1,1,15,DELTA,2754,34,LOS ANGELES,1,0.3,0.42,2,3,,2,,,1,0,,0,,1,90,1,Don't Know or Refused,0,0,4,1.045596774
46,C,,1,2,15,DELTA,854,17,DETROIT,3,0.17,0.27,2,,,2,,,2,1,,1,,0,99,5,Don't Know or Refused,0,0,4,1.045596774
12,A,,3,2,7,ALASKA,744,54,SALT LAKE CITY,1,0.63,0.87,1,,,5,,,3,1,,1,,2,99,5,Don't Know or Refused,0,0,4,0.35525
54,D,,2,1,30,VIRGIN AMERICA,1742,60,SEATTLE,1,0.4,0.47,5,,,5,,,2,2,,1,,2,90,5,Don't Know or Refused,0,0,4,1.000529644
99,G,,2,3,4,AIR CHINA,986,5,BEIJING,8,0.42,0.62,1,,,9,,,1,1,,0,,2,99,5,Don't Know or Refused,0,0,4,0.975517672
99,G,,2,3,4,AIR CHINA,986,5,BEIJING,8,0.5,0.62,2,,,5,,,1,1,,1,,1,99,5,Don't Know or Refused,0,0,4,0.975517672
99,G,,2,3,4,AIR CHINA,986,5,BEIJING,8,0.5,0.62,3,,,5,,,1,0,,0,,0,99,5,Don't Know or Refused,0,0,4,0.975517672
99,G,,2,3,4,AIR CHINA,986,5,BEIJING,8,0.5,0.62,2,,,5,,,1,0,,0,,0,99,5,Don't Know or Refused,0,0,4,0.975517672
99,G,,2,3,4,AIR CHINA,986,5,BEIJING,8,0.38,0.62,2,,,5,,,1,1,,1,,0,99,5,Don't Know or Refused,0,0,4,0.975517672
77,F,,1,2,28,UNITED,5579,59,SANTA BARBARA,1,N,0.29,3,,,2,,,2,2,,2,,2,99,5,Don't Know or Refused,0,0,4,1.757875
91,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,0.63,0.72,1,,,2,,,2,2,,1,,3,99,5,Don't Know or Refused,0,0,4,0.251095694
91,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,0.56,0.72,3,,,3,,,2,2,,1,,4,99,5,Don't Know or Refused,0,0,4,0.251095694
91,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,0.63,0.72,5,,,1,,,1,2,,2,,3,99,5,Don't Know or Refused,0,0,4,0.251095694
91,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,N,0.72,6,,,5,,,1,2,,2,,3,99,5,Don't Know or Refused,0,0,4,0.251095694
91,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,0.63,0.72,2,,,2,,,1,1,,1,,0,99,5,Don't Know or Refused,0,0,4,0.251095694
91,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,N,0.72,4,,,2,,,1,0,,1,,2,3,5,Don't Know or Refused,0,0,4,0.251095694
91,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,N,0.72,1,,,2,,,2,2,,2,,3,99,5,Don't Know or Refused,0,0,4,0.251095694
97,G,,2,3,29,UNITED INTL,869,25,HONG KONG,8,0.38,0.55,5,,,2,,,1,0,,1,,0,99,5,Don't Know or Refused,0,0,4,0.917421687
97,G,,2,3,29,UNITED INTL,869,25,HONG KONG,8,N,0.55,2,,,2,,,0,1,,0,,0,99,5,Don't Know or Refused,0,0,4,0.917421687
9,A,,2,3,16,EMIRATES,226,18,DUBAI,7,0.56,0.7,4,,,15,,,1,2,,1,,2,99,5,Don't Know or Refused,0,0,4,0.975517672
9,A,,2,3,13,CHINA EASTERN,590,62,SHANGHAI,8,0.36,0.5,4,,,3,,,1,1,,0,,2,99,5,Don't Know or Refused,0,0,4,0.975517672
6,A,,1,1,19,HAWAIIAN,41,29,KAHULUI,1,0.26,0.42,3,,,2,,,1,2,,2,,1,99,5,Don't Know or Refused,0,0,4,0.975517672
85,F,,1,1,28,UNITED,414,44,NEWARK,2,0.27,0.38,1,,,5,,,1,1,,1,,2,99,5,Don't Know or Refused,0,0,4,1.757875
7,A,,3,3,23,PHILIPPINE AIR,105,35,MANILA,9,0.83,0.98,2,,,5,,,1,2,,2,,3,99,5,Don't Know or Refused,0,0,4,0.975517672
7,A,,3,3,23,PHILIPPINE AIR,105,35,MANILA,9,0.81,0.98,2,,,6,,,1,2,,1,,3,99,5,Don't Know or Refused,0,0,4,0.975517672
7,A,,3,3,23,PHILIPPINE AIR,105,35,MANILA,9,N,0.98,3,,,5,,,1,2,,2,,1,99,5,Don't Know or Refused,0,0,4,0.975517672
74,F,,3,3,29,UNITED INTL,460,68,VANCOUVER,4,0.46,0.83,2,,,2,,,1,2,,2,,3,99,5,Don't Know or Refused,0,0,4,0.917421687
61,E,,1,2,28,UNITED,616,13,CHICAGO-O'HARE,3,0.24,0.29,3,,,4,,,2,1,,0,,1,91,5,Don't Know or Refused,0,0,4,1.757875
94,G,,2,3,24,SINGAPORE AIRLINES,15,61,SEOUL-INCHEON,8,0.42,0.59,4,,,3,,,1,1,,1,,2,10,1,Under 20,Male,1,1,0.975517672
4,A,,1,1,15,DELTA,2754,34,LOS ANGELES,1,0.33,0.42,6,,,2,,,1,2,,2,,1,2,1,Under 23,Male,2,1,1.045596774
58,D,,1,2,30,VIRGIN AMERICA,12,43,NEW YORK-JFK,2,0.2,0.29,2,,,5,,,2,1,,2,,2,1,1,Under 25,Male,3,2,1.000529644
46,C,,1,2,15,DELTA,854,17,DETROIT,3,0.21,0.27,2,,,2,,,2,1,,0,,2,2,1,Under 27,Male,4,2,1.045596774
94,G,,2,3,9,ANA ALL NIPPON,7,66,TOKYO-NARITA,8,0.35,0.51,2,,,8,,,1,0,,1,,2,10,1,Under 28,Male,4,2,0.975517672
84,F,,2,1,28,UNITED,5613,3,BAKERSFIELD,1,0.36,0.52,6,,,3,,,1,2,,2,,3,10,1,Under 30,Male,0,2,1.757875
28,B,,2,1,25,SOUTHWEST,1051,30,LAS VEGAS,1,0.41,0.47,2,,,2,,,1,2,,1,,1,90,5,Under 32,Male,0,3,0.8875125
11,A,,2,3,14,CHINA SOUTHERN,658,24,GUANGZHOU,8,0.33,0.51,4,,,6,,,1,1,,1,,1,11,1,18-24,Male,0,1,0.975517672
11,A,,3,2,20,JETBLUE,1516,43,NEW YORK-JFK,2,0.88,0.96,3,,,2,,,1,1,,2,,2,10,1,18-24,Male,0,1,0.355703704
52,D,,3,2,30,VIRGIN AMERICA,942,34,LOS ANGELES,1,0.71,0.82,3,,,6,,,2,1,,1,,2,1,1,18-24,Male,1,3,1.000529644
