GATE,BAREA,TERMINAL,STRATA,PEAK,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,PURP2,PURP3,GETTO1,GETTO2,GETTO3,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
42,C,,3,2,15,DELTA,2800,54,SALT LAKE CITY,1,0.6,0.75,5,,,4,,,1,1,,1,,2,10,1,18-24,0,2,2,1.045596774
26,B,,3,2,25,SOUTHWEST,2034,34,LOS ANGELES,1,0.64,0.71,2,,,9,,,1,1,,1,,2,11,1,25-34,0,1,2,0.8875125
12,A,,3,2,20,JETBLUE,1635,33,LONG BEACH,1,0.69,0.77,2,,,9,,,1,2,,2,,3,10,1,25-34,0,1,2,0.355703704
91,G,,3,3,29,UNITED INTL,875,65,TOKYO-HANEDA,8,0.75,0.81,2,,,3,,,2,2,,2,,4,10,1,25-34,0,1,2,0.917421687
54,D,,2,2,30,VIRGIN AMERICA,932,34,LOS ANGELES,1,0.6,0.69,1,,,5,,,2,0,,1,,1,12,1,25-34,0,2,3,1.000529644
30,B,,3,2,25,SOUTHWEST,1307,30,LAS VEGAS,1,0.73,0.8,2,,,5,,,2,2,,1,,2,10,1,25-34,0,2,2,0.8875125
9,A,,2,3,13,CHINA EASTERN,590,62,SHANGHAI,8,0.42,0.5,2,3,,5,,,1,1,,1,,2,3,1,25-34,0,4,2,0.975517672
9,A,,3,3,12,BRITISH AIRWAYS,286,32,LONDON-HEATHROW,6,0.58,0.8,2,,,5,,,1,1,,1,,0,15,1,25-34,0,0,2,0.975517672
87,F,,3,2,28,UNITED,1670,26,HONOLULU,1,0.69,0.79,5,,,3,,,0,0,,1,,2,12,1,25-34,0,0,4,1.757875
92,G,,2,3,3,AIR CANADA,738,67,TORONTO,4,0.36,0.48,1,,,5,,,2,2,,2,,2,4,1,25-34,0,0,2,0.251095694
4,A,,1,3,7,ALASKA,222,52,PUERTO VALLARTA,4,0.38,0.44,2,,,1,,,1,1,,1,,2,99,1,35-44,0,2,2,0.35525
6,A,,1,1,19,HAWAIIAN,41,29,KAHULUI,1,0.25,0.42,2,,,8,,,1,1,,1,,2,10,1,35-44,0,2,2,0.975517672
58,D,,2,2,8,AMERICAN,2438,34,LOS ANGELES,1,0.57,0.61,2,,,2,,,2,2,,2,,1,10,1,35-44,0,3,1,1.122545455
97,G,,2,3,29,UNITED INTL,869,25,HONG KONG,8,N,0.55,1,,,1,,,1,0,,0,,3,16,1,35-44,0,3,2,0.917421687
11,A,,2,2,20,JETBLUE,616,43,NEW YORK-JFK,2,0.6,0.64,2,,,7,,,1,1,,2,,2,13,1,35-44,0,0,2,0.355703704
95,G,,3,3,3,AIR CANADA,569,68,VANCOUVER,4,0.58,0.72,2,,,9,,,2,1,,0,,2,13,1,45-54,0,2,2,0.251095694
