GATE,BAREA,TERMINAL,STRATA,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,GETTO1,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
25,,1,1,25,,,,LAS VEGAS,1,8:56,10:25,2,1,2,1,2,1,2,,1,,5,1,3,,
25,,1,1,25,,,,LAS VEGAS,1,8:45,10:25,3,5,2,2,2,1,2,,2,,2,1,1,,
25,,1,1,25,,,,LAS VEGAS,1,8:15,10:25,2,2,3,2,1,2,1,,10,,7,2,0,,
25,,1,1,25,,,,LAS VEGAS,1,8:00,10:25,1,4,1,2,2,1,2,,10,,2,2,1,,
25,,1,1,25,,,,LAS VEGAS,1,8:30,10:25,2,2,1,1,2,1,2,,2,,5,2,0,,
25,,1,1,25,,,,LAS VEGAS,1,9:20,10:25,3,2,1,2,2,2,2,,11,,6,2,3,,
25,,1,1,25,,,,LAS VEGAS,1,9:00,10:25,3,6,1,2,2,1,2,,19,,4,1,2,,
25,,1,1,25,,,,LAS VEGAS,1,9:25,10:25,3,2,1,0,2,0,2,,1,,5,1,2,,
23,,1,2,25,,,,PHOENIX,1,9:00,11:25,2,6,1,2,2,2,2,,11,,5,2,2,,
23,,1,2,25,,,,PHOENIX,1,7:00,11:25,3,3,1,1,2,1,2,,12,,2,2,1,,
23,,1,2,25,,,,PHOENIX,1,10:00,11:25,2,2,1,1,2,1,2,,11,,6,2,3,,
23,,1,2,25,,,,PHOENIX,1,9:15,11:25,3,6,1,2,1,1,2,,11,,3,1,2,,
23,,1,2,25,,,,PHOENIX,1,9:00,11:25,2,4,2,2,1,1,2,,12,,5,1,2,,
23,,1,2,25,,,,PHOENIX,1,10:00,11:25,2,9,1,1,2,2,1,,7,,6,2,0,,
23,,1,2,25,,,,PHOENIX,1,8:39,11:25,1,9,1,1,2,1,2,,12,,4,1,3,,
23,,1,2,25,,,,PHOENIX,1,9:00,11:25,3,5,2,2,1,2,2,,1,,4,2,1,,
23,,1,2,25,,,,PHOENIX,1,10:20,11:25,2,2,1,1,2,2,2,,3,,3,2,1,,
28,,1,2,29,,,,LAS VEGAS,1,10:45,12:25,2,6,2,2,2,1,2,,10,,6,1,1,,
28,,1,2,29,,,,LAS VEGAS,1,11:15,12:25,1,2,1,1,2,2,2,,12,,3,2,4,,
89,,3,2,11,,,,NEWARK,2,9:40,11:05,3,8,2,2,2,2,2,,12,,5,1,2,,
89,,3,2,11,,,,NEWARK,2,6:45,11:05,3,4,1,2,1,1,0,,1,,5,2,0,,
89,,3,2,11,,,,NEWARK,2,9:00,11:05,3,6,1,2,1,1,0,,12,,7,2,0,,
89,,3,2,11,,,,NEWARK,2,9:00,11:05,1,9,2,2,2,2,2,,12,,5,1,2,,
89,,3,2,11,,,,NEWARK,2,9:15,11:05,1,9,2,2,2,1,1,,12,,6,1,4,,
89,,3,2,11,,,,NEWARK,2,8:45,11:05,3,7,2,2,2,2,2,,7,,7,1,2,,
89,,3,2,11,,,,NEWARK,2,8:40,11:05,2,2,1,0,1,0,2,,4,,6,2,2,,
89,,3,2,11,,,,NEWARK,2,8:30,11:05,2,2,1,2,1,1,2,,10,,6,2,0,,
89,,3,2,11,,,,NEWARK,2,9:00,11:05,3,2,2,1,1,1,2,,12,,6,2,3,,
89,,3,2,11,,,,NEWARK,2,9:30,11:05,1,5,0,0,2,1,2,,5,,4,2,4,,
89,,3,2,11,,,,NEWARK,2,9:00,11:05,2,2,2,2,2,1,2,,90,,0,0,0,,
89,,3,2,11,,,,NEWARK,2,9:30,11:05,3,9,1,1,2,1,2,,12,,7,2,0,,
89,,3,2,11,,,,NEWARK,2,9:30,11:05,1,2,1,1,2,1,2,,4,,4,2,3,,
89,,3,2,11,,,,NEWARK,2,9:00,11:05,3,2,1,2,2,2,2,,1,,7,2,0,,
89,,3,2,11,,,,NEWARK,2,9:50,11:05,2,2,1,2,2,2,2,,10,,4,2,3,,
88,,3,2,11,,,,HOUSTON,3,7:15,12:10,3,3,2,2,2,2,2,,10,,7,1,3,,
88,,3,2,11,,,,HOUSTON,3,9:30,12:10,2,9,1,1,0,2,2,,11,,6,1,2,,
88,,3,2,11,,,,HOUSTON,3,11:10,12:10,1,3,2,2,2,2,2,,10,,5,1,4,,
88,,3,2,11,,,,HOUSTON,3,9:30,12:10,3,8,2,1,2,2,2,,7,,6,1,2,,
88,,3,2,11,,,,HOUSTON,3,9:00,12:10,2,3,1,1,2,2,2,,11,,4,2,2,,
88,,3,2,11,,,,HOUSTON,3,10:00,12:10,2,8,1,2,2,1,2,,6,,7,0,0,,
88,,3,2,11,,,,HOUSTON,3,10:30,12:10,1,1,2,2,2,1,2,,3,,5,1,3,,
88,,3,2,11,,,,HOUSTON,3,9:30,12:10,2,9,1,0,1,1,2,,14,,5,2,1,,
88,,3,2,11,,,,HOUSTON,3,10:00,12:10,2,2,2,1,2,2,2,,11,,6,2,1,,
88,,3,2,11,,,,HOUSTON,3,10:00,12:10,1,2,1,2,2,1,2,,3,,3,2,3,,
88,,3,2,11,,,,HOUSTON,3,10:38,12:10,1,11,2,1,2,2,1,,1,,5,1,2,,
88,,3,2,11,,,,HOUSTON,3,10:00,12:10,3,1,1,0,2,0,2,,10,,5,2,1,,
88,,3,2,11,,,,HOUSTON,3,10:30,12:10,2,2,1,1,1,1,2,,11,,5,0,3,,
88,,3,2,11,,,,HOUSTON,3,10:15,12:10,6,1,1,1,2,0,2,,11,,6,2,1,,
88,,3,2,11,,,,HOUSTON,3,7:00,12:10,1,4,1,1,2,1,2,,13,,5,1,2,,
88,,3,2,11,,,,HOUSTON,3,10:45,12:10,2,2,1,0,2,1,2,,11,,2,2,0,,
88,,3,2,11,,,,HOUSTON,3,10:30,12:10,3,9,1,1,1,1,2,,12,,6,2,0,,
88,,3,2,11,,,,HOUSTON,3,11:00,12:10,2,9,1,1,2,2,2,,12,,6,1,4,,
88,,3,2,11,,,,HOUSTON,3,11:00,12:10,2,5,1,0,2,0,2,,5,,6,2,4,,
88,,3,2,11,,,,HOUSTON,3,8:30,12:10,6,3,0,2,1,2,0,,10,,6,2,4,,
88,,3,2,11,,,,HOUSTON,3,10:45,12:10,5,1,2,2,2,2,2,,1,,7,1,4,,
70,,3,2,28,,,,VANCOUVER,4,9:30,13:08,3,3,2,1,0,1,0,,13,,3,2,2,,
70,,3,2,28,,,,VANCOUVER,4,11:00,13:08,3,3,1,2,0,2,0,,13,,3,1,1,,
70,,3,2,28,,,,VANCOUVER,4,11:30,13:08,2,3,1,2,0,2,0,,13,,3,1,1,,
70,,3,2,28,,,,VANCOUVER,4,11:50,13:08,2,3,1,2,2,2,2,,19,,2,1,1,,
70,,3,2,28,,,,VANCOUVER,4,N,13:08,1,3,0,2,2,0,2,,16,,5,2,0,,
70,,3,2,28,,,,VANCOUVER,4,12:00,13:08,1,3,2,1,2,2,2,,16,,5,1,1,,
70,,3,2,28,,,,VANCOUVER,4,11:00,13:08,3,3,1,2,2,2,2,,13,,4,2,1,,
70,,3,2,28,,,,VANCOUVER,4,11:10,13:08,1,1,2,1,2,1,2,,4,,5,2,1,,
70,,3,2,28,,,,VANCOUVER,4,10:40,13:08,2,3,1,1,2,2,2,,13,,6,1,0,,
70,,3,2,28,,,,VANCOUVER,4,N,13:08,2,3,1,2,2,2,2,,99,,0,0,0,,
78,,3,2,28,,,,CRESCENT CIT,1,13:00,15:23,3,3,2,2,0,2,0,,10,,7,0,1,,
78,,3,2,28,,,,CRESCENT CIT,1,13:00,15:23,2,3,2,2,0,1,0,,10,,7,2,2,,
78,,3,2,28,,,,CRESCENT CIT,1,14:15,15:23,3,3,2,2,2,1,2,,10,,6,1,2,,
78,,3,2,28,,,,CRESCENT CIT,1,12:30,15:23,2,3,2,2,2,1,2,,10,,5,2,2,,
78,,3,2,28,,,,CRESCENT CIT,1,13:00,15:23,3,3,2,1,2,1,2,,10,,6,2,0,,
78,,3,2,28,,,,CRESCENT CIT,1,13:05,15:23,3,3,2,1,2,1,2,,10,,5,1,4,,
78,,3,2,28,,,,CRESCENT CIT,1,13:05,15:23,3,3,0,2,2,2,2,,10,,5,2,4,,
78,,3,2,28,,,,CRESCENT CIT,1,15:00,15:23,3,3,2,2,2,1,2,,11,,3,2,1,,
78,,3,2,28,,,,CRESCENT CIT,1,14:00,15:23,2,3,0,0,2,1,2,,10,,2,2,1,,
78,,3,2,28,,,,CRESCENT CIT,1,13:40,15:23,8,3,2,2,2,2,2,,10,,6,2,0,,
10,,4,2,2,,,,MONTREAL,4,9:30,11:55,3,2,1,2,2,2,2,,13,,7,2,1,,
10,,4,2,2,,,,MONTREAL,4,9:30,11:55,1,2,2,1,2,2,2,,13,,5,2,4,,
10,,4,2,2,,,,MONTREAL,4,9:00,11:55,1,9,1,2,1,2,2,,13,,3,1,3,,
10,,4,2,2,,,,MONTREAL,4,9:00,11:55,2,5,1,2,2,1,2,,15,,2,2,0,,
10,,4,2,2,,,,MONTREAL,4,8:00,11:55,2,3,1,1,2,1,2,,13,,3,1,2,,
10,,4,2,2,,,,MONTREAL,4,9:45,11:55,1,4,1,2,2,2,2,,12,,5,1,4,,
10,,4,2,2,,,,MONTREAL,4,10:30,11:55,1,6,1,2,2,2,2,,5,,7,2,2,,
10,,4,2,2,,,,MONTREAL,4,10:20,11:55,2,7,1,0,1,0,1,,19,,2,2,1,,
10,,4,2,2,,,,MONTREAL,4,7:40,11:55,3,2,1,1,2,1,2,,4,,5,2,3,,
10,,4,2,2,,,,MONTREAL,4,8:00,11:55,3,3,1,1,2,1,2,,13,,5,2,0,,
10,,4,2,2,,,,MONTREAL,4,9:30,11:55,1,2,1,0,2,0,2,,10,,5,2,4,,
10,,4,2,2,,,,MONTREAL,4,8:30,11:55,1,2,2,1,2,2,2,,13,,5,1,3,,
10,,4,2,2,,,,MONTREAL,4,9:45,11:55,1,2,1,2,2,1,2,,3,,4,1,3,,
10,,4,2,2,,,,MONTREAL,4,9:00,11:55,2,2,1,0,2,1,2,,10,,7,1,0,,
10,,4,2,2,,,,MONTREAL,4,9:50,11:55,3,3,1,1,2,2,2,,13,,5,1,1,,
10,,4,2,2,,,,MONTREAL,4,10:38,11:55,3,6,1,2,2,2,2,,13,,3,1,1,,
10,,4,2,2,,,,MONTREAL,4,8:00,11:55,2,3,1,1,1,1,2,,13,,3,1,3,,
10,,4,2,2,,,,MONTREAL,4,10:15,11:55,1,6,1,0,2,0,2,,5,,6,2,4,,
10,,4,2,2,,,,MONTREAL,4,10:30,11:55,1,7,2,1,1,2,2,,13,,5,2,4,,
10,,4,2,2,,,,MONTREAL,4,9:30,11:55,1,7,2,1,2,1,2,,13,,6,2,3,,
10,,4,2,2,,,,MONTREAL,4,10:00,11:55,3,1,1,2,2,2,2,,4,,6,2,1,,
10,,4,2,2,,,,MONTREAL,4,9:30,11:55,3,9,1,2,2,2,2,,13,,6,2,1,,
10,,4,2,2,,,,MONTREAL,4,9:30,11:55,1,2,1,1,1,1,2,,13,,6,1,3,,
6,,4,2,10,,,,HONG KONG,8,11:30,13:35,4,2,1,2,2,2,2,,1,,4,2,0,,
6,,4,2,10,,,,HONG KONG,8,10:30,13:35,5,5,2,2,1,1,2,,16,,3,1,1,,
6,,4,2,10,,,,HONG KONG,8,10:45,13:35,1,2,1,2,2,2,2,,5,,5,1,2,,
6,,4,2,10,,,,HONG KONG,8,10:30,13:35,2,2,1,2,2,1,2,,4,,4,1,3,,
6,,4,2,10,,,,HONG KONG,8,10:00,13:35,2,2,1,1,2,2,2,,2,,4,1,2,,
6,,4,2,10,,,,HONG KONG,8,11:00,13:35,3,2,1,1,2,2,2,,10,,5,2,1,,
6,,4,2,10,,,,HONG KONG,8,9:30,13:35,2,2,1,2,2,2,2,,4,,3,1,4,,
6,,4,2,10,,,,HONG KONG,8,9:45,13:35,1,3,2,1,2,1,2,,99,,0,0,0,,
6,,4,2,10,,,,HONG KONG,8,11:40,13:35,3,1,1,2,1,2,2,,1,,5,2,1,,
6,,4,2,10,,,,HONG KONG,8,11:40,13:35,2,1,1,2,2,2,2,,4,,5,1,0,,
6,,4,2,10,,,,HONG KONG,8,11:30,13:35,3,5,1,2,1,2,2,,16,,2,1,1,,
6,,4,2,10,,,,HONG KONG,8,11:35,13:35,1,2,1,2,2,2,2,,16,,3,1,1,,
6,,4,2,10,,,,HONG KONG,8,10:00,13:35,3,6,1,2,2,1,2,,4,,3,2,2,,
6,,4,2,10,,,,HONG KONG,8,11:00,13:35,8,7,1,2,2,2,2,,16,,2,1,0,,
6,,4,2,10,,,,HONG KONG,8,9:30,13:35,3,5,1,2,2,1,2,,11,,3,1,1,,
6,,4,2,10,,,,HONG KONG,8,11:45,13:35,3,2,1,1,2,2,1,,1,,4,2,2,,
6,,4,2,10,,,,HONG KONG,8,11:00,13:35,6,2,1,0,1,1,1,,5,,6,2,3,,
6,,4,2,10,,,,HONG KONG,8,10:35,13:35,2,7,1,1,1,1,2,,13,,4,1,2,,
6,,4,2,10,,,,HONG KONG,8,11:30,13:35,1,3,2,1,1,1,2,,10,,3,1,3,,
6,,4,2,10,,,,HONG KONG,8,N,13:35,3,5,1,0,2,0,2,,1,,5,2,1,,
6,,4,2,10,,,,HONG KONG,8,N,13:35,2,2,1,0,2,1,1,,4,,6,2,0,,
6,,4,2,10,,,,HONG KONG,8,N,13:35,2,2,1,2,2,2,2,,1,,3,2,2,,
6,,4,2,10,,,,HONG KONG,8,N,13:35,3,2,1,1,0,1,0,,99,,4,0,2,,
6,,4,2,10,,,,HONG KONG,8,N,13:35,3,2,1,0,2,0,2,,1,,5,1,1,,
6,,4,2,10,,,,HONG KONG,8,N,13:35,3,2,1,1,0,0,0,,99,,0,0,0,,
6,,4,2,10,,,,HONG KONG,8,10:40,13:35,2,2,1,1,1,1,2,,16,,1,2,3,,
96,,4,2,35,,,,BEIJING,8,12:00,14:50,1,3,2,2,2,2,2,,10,,0,2,0,,
96,,4,2,35,,,,BEIJING,8,13:00,14:50,4,3,2,2,2,2,2,,16,,2,1,0,,
96,,4,2,35,,,,BEIJING,8,10:00,14:50,2,4,1,1,2,1,2,,11,,7,1,2,,
96,,4,2,35,,,,BEIJING,8,10:00,14:50,1,3,2,1,1,1,2,,16,,3,1,1,,
96,,4,2,35,,,,BEIJING,8,12:00,14:50,3,2,1,1,1,1,2,,2,,3,2,2,,
96,,4,2,35,,,,BEIJING,8,11:30,14:50,2,3,0,1,1,1,2,,11,,5,2,3,,
96,,4,2,35,,,,BEIJING,8,10:00,14:50,2,3,2,1,2,1,2,,11,,4,1,3,,
96,,4,2,35,,,,BEIJING,8,12:50,14:50,1,3,2,1,2,1,2,,99,,0,0,0,,
96,,4,2,35,,,,BEIJING,8,10:30,14:50,2,7,1,1,1,1,2,,12,,6,2,4,,
96,,4,2,35,,,,BEIJING,8,12:50,14:50,4,2,1,2,2,2,2,,16,,3,1,2,,
96,,4,2,35,,,,BEIJING,8,11:10,14:50,2,3,1,1,2,1,2,,10,,7,0,0,,
