GATE,BAREA,TERMINAL,STRATA,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,GETTO1,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
4,A,,2,24,,2609,47,,5,9:15,12:45,2,3,1,1,2,1,1,,14,,4,1,4,,
4,A,,2,24,,2609,47,,5,9:40,12:45,3,2,2,2,2,2,2,,14,,3,2,0,,
72,F,,2,32,,292,65,,2,0:00,14:21,2,5,1,2,2,2,2,,14,,5,1,2,,
72,F,,2,32,,292,65,,2,0:00,14:21,2,5,1,2,2,2,2,,14,,4,1,2,,
93,G,,3,5,,7,5,,9,15:07,21:45,2,3,1,1,2,2,2,,13,,3,2,2,,
93,G,,3,5,,7,5,,9,19:00,21:45,1,3,2,2,0,2,0,,13,,4,1,3,,
45,C,,1,15,,854,26,,3,4:00,7:00,2,7,1,2,2,1,2,,13,,6,2,1,,
98,G,,3,33,,926,32,,6,17:30,18:57,2,3,2,1,2,2,2,,13,,6,2,0,,
71,F,,3,32,,5440,22,,1,16:40,18:49,2,3,2,2,2,1,2,,13,,5,2,0,,
57,D,,1,9,,12,60,,2,7:00,9:05,2,7,1,2,2,2,2,,13,,4,1,0,,
56,D,,1,9,,1612,18,,3,5:30,9:20,3,2,1,1,1,2,2,,13,,6,2,1,,
69,F,,3,33,,6366,29,,4,18:15,20:00,2,3,2,1,2,2,2,,13,,4,2,2,,
69,F,,3,33,,6366,29,,4,18:30,20:00,2,3,2,2,2,2,2,,13,,3,2,0,,
69,F,,3,33,,6366,29,,4,9:00,20:00,2,3,1,2,2,2,2,,13,,2,1,1,,
69,F,,3,33,,6366,29,,4,17:00,20:00,3,3,2,1,1,1,1,,13,,5,1,0,,
69,F,,3,33,,6366,29,,4,18:00,20:00,3,9,1,1,1,1,2,,13,,5,2,0,,
69,F,,3,33,,6366,29,,4,N,20:00,2,2,1,1,2,1,2,,13,,3,1,3,,
69,F,,3,33,,6366,29,,4,18:10,20:00,3,2,1,2,1,1,2,,13,,5,2,0,,
69,F,,3,33,,6366,29,,4,18:15,20:00,2,3,2,1,2,1,2,,13,,3,2,4,,
69,F,,3,33,,6366,29,,4,N,20:00,1,9,1,1,2,1,2,,13,,5,2,0,,
69,F,,3,33,,6366,29,,4,16:49,20:00,5,3,2,0,1,0,1,,13,,7,2,0,,
69,F,,3,33,,6366,29,,4,18:00,20:00,8,3,0,0,2,1,2,,13,,3,2,2,,
