name,code,gate,flightID,loadFactor,seats,count,arrival,departure,delta.arrival,color
"American Airlines to Phoenix, Airbus Industries A321","AA","B11","ead2dd49-3b2c-4f43-9a24-b02a8862f4b7","1","183","191","0.21875","0.25","0.03125","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B7a","51c34289-6d23-49e7-a0d1-7642fdc244e2","1","183","180","0.3680555555555556","0.4236111111111111","0.055555555555555525","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B2","6126a263-63aa-4765-bdc7-90f0c7f05a0a","1","183","175","0.4131944444444444","0.4583333333333333","0.045138888888888895","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B4","f2deeb1e-8472-4d8c-85e1-0350039cc6f3","1","183","171","0.4305555555555556","0.46875","0.03819444444444442","null"
"American Airlines to New York, Airbus Industries A321","AA","B13","f9650858-9787-4545-8c40-e487365fc757","1","102","117","0.45486111111111105","0.517361111111111","0.0625","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B7a","726ebcfc-6dd4-4950-9645-b2069b9f2870","1","183","170","0.4583333333333333","0.5","0.041666666666666685","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B3","431751cb-e9ed-4544-9822-476aca889017","1","183","186","0.5145833333333334","0.5555555555555556","0.04097222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B1","52a25a36-46ee-4ae9-bf44-af078ed2af44","1","183","161","0.5222222222222223","0.5625","0.040277777777777746","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B15","5ecfea00-36cd-41af-ae37-e725a75362ba","1","183","212","0.5493055555555556","0.6527777777777778","0.10347222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B20b","1693dfa0-ad38-468b-836a-c6371595b1b2","1","183","194","0.6319444444444444","0.7222222222222222","0.09027777777777779","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B1","9810ad9c-5136-4e52-abd9-c4582f76d272","1","183","188","0.65625","0.7152777777777778","0.05902777777777779","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B17","404a4f35-fd41-4f49-a124-63fd05badfff","1","183","188","0.7875","0.9201388888888888","0.13263888888888886","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B2","c2026f60-2a75-4b6b-9a2a-92370b63ce89","1","183","177","0.8180555555555555","0.8541666666666666","0.036111111111111094","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B21","748c2d26-c5a2-4533-ad4a-94020b6ab767","1","183","177","0.8819444444444443","0.9305555555555555","0.04861111111111116","null"
"American Airlines to New York, Airbus Industries A321","AA","B2","e3517c9b-ef97-40c0-b50d-114321895a1d","1","102","107","0.9027777777777778","0.9583333333333334","0.05555555555555558","null"
